朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
现代,汤,外,4241.0,艾叶洗剂,《中医皮肤病学简编》,艾叶62g  雄黄6g  防风62g  花椒6g,62g,祛湿止痒。,止痒,慢性湿疹，过敏性皮炎，泛发性神经皮炎。,水煎，去滓。,熏洗。,,y ,4.0,,,
宋,丸,内,8073.0,防风丸,《圣济总录》卷一三六,防风  蝉蜕  猪牙皂荚(酥炙，去皮、子)各45g  天麻60g    ,45g,祛风止痒。,止痒,风疮疥癣，皮肤瘙痒，搔成瘾疹。,上为细末，用精羊肉煮熟，捣烂，以酒熬为膏，为丸如绿豆大。,每次30丸，荆芥酒或茶汤送服。,,y,4.0,,,
宋,丸,内,9434.0,牡荆子丸,《太平圣惠方》卷六,牡荆子60g  防风90g  皂荚10挺(去皮，涂酥，炙黄焦，去子)  桑螵蛸60g(微炒),90g,祛风止痒。,止痒, 疥疮。,上为末，炼蜜为丸，如梧桐子大。,每次20丸，荆芥汤送服，不拘时候。,,y,4.0,,,
明,煮散,外,9510.0,何首乌散,《普济方》卷二七二引《医方集成》,防风  苦参  何首乌  薄荷各等分,等分,祛风燥湿，消肿止痒。,止痒,遍身疮肿痒痛。,上为粗末。每次用药15g，水、酒各400ml，煎十沸。,"热洗患处。洗后于避风处睡一觉。痛甚
者，三日愈。",,n,4.0,,,
明,散,内,8121.0,防风羌活散,《普济方》卷二七九,防风  羌活  全蝎  薄荷  荆芥各30g,30g,祛风止痒。,止痒,疥癣风疮。,上为细末。,每次9g，用酒或茶调服，不拘时候。,,y,5.0,,,
清•顾世澄,丸,外,4302.0,灭瘢丹,《疡医大全》卷十二,轻粉  白附子  黄芩(微火略炒)  白芷  防风(研细末)各等分,等分,消痕灭瘢。,止痒美白,面部瘢痕。,炼蜜为丸。,"于每日洗面之时多擦数次，临睡洗面
时又擦之。不须三日，自然消痕灭瘢。",研细末,n,5.0,,,
宋,丸,内,8074.0,防风丸,《圣济总录》卷一五O,防风  苍耳(炒)  苦参  蒺藜子(炒)各60g  枳壳(去瓤，麸炒)30g,60g,祛风清热，除湿止痒。,止痒,妇人外感风湿热邪，皮肤瘾疹痒痛，或有细疮。,上为细末，炼蜜为丸，如梧桐子大。,每次20丸，温酒或荆芥茶送服，不拘时候。,,y,5.0,,,
明,散,内,8121.0,防风羌活散,《普济方》卷二七九,防风  羌活  全蝎  薄荷  荆芥各30g,30g,祛风止痒。,止痒,疥癣风疮。,上为细末。,每次9g，用酒或茶调服，不拘时候。,,y,5.0,,,
明,汤,内,8122.0,防风败毒饮,《万氏家抄方》卷六又名防风葛根汤(《赤水玄珠》卷二十八)  防风败毒散(《片玉痘疹》卷十二,升麻  葛根  防风  赤芍  甘草,wbz,解肌透疹。,透疹,痘后余毒发瘾疹，及麻疹发热。,去煎，去滓。,温服。,,n,5.0,,本方是由《闫氏小儿方论》升麻葛根汤加防风而成。方中升麻、防风解毒透疹；葛根轻扬发散，解肌除热；赤芍和营泄热；甘草和中解毒。诸药合用，使汗出疹透而毒解。,
清,膏,外,8230.0,红玉膏,《慈禧光绪医方选议》, 当归30g  红花9g  赤芍9g  白及9g  防风9g,9g,祛腐生肌，定痛消肿，解毒止痒。,透疹　散结,鼻内干燥疼痛，杨梅顽疮，结毒臁疮，大小诸毒。,用香油500g，将上药煎枯去滓，入黄蜡60g，再入银朱30g，乳香15g。,挑少许，擦鼻孔内。,,y,5.0,,,
宋,丸,内,9534.0,皂角丸,《太平圣惠方》卷四十,皂荚500g(不蛀者，去皮，以酥150g渐涂，慢火炙至酥尽为度，然后捶碎，以新汲水按，用生绢滤过，以慢火熬成膏)  防风30g  独活30g　甘草30(炙微赤，锉)  牛蒡子30g(微炒),30g,疏风祛湿。,止痒,饮酒过多，致患酒皶鼻。,上为末，以皂角煎和为丸，如梧桐子大。,每次20丸，食后茶、酒任下。,,y,5.0,,,
宋,散,内,2145.0,天麻散,《圣济总录》卷十一,天麻  防风  羌活  甘菊花  杏仁(去皮、尖、双仁，炒令黄)各60g  甘草(炙，锉)30g,60g,祛风止痒。,止痒,遍体瘾疹瘙痒，皮肤痛痹，肢节疼痛，大肠不利。,上为散。,每次9g，空心用蜜酒调服，一日二次。,,y,6.0,,本方所治之证，是由风邪热毒郁于肌肤所致。方中天麻、菊花祛风泄热解毒，羌活、防风搜风胜湿透邪，杏仁润肠通便，甘草调和诸药。配合成方，使风热邪毒俱去，而痛痒自止。,
元•孙允贤辑,煮散,内,5144.0,生料四物汤,《医方大成》卷十引汤氏方,生地黄  赤芍药  川芎  当归  防风各等分  黄芩减半,等分,凉血祛风，消肿止痒。,止痒,小儿血热生疮，遍身肿痒。,上哎咀。每次6g，用水150ml，煎至100m1，去滓。,温服。,,n,6.0,,,
明,煮散,内,7223.0,当归消毒散,《普济方》卷二八六,荆芥  牛蒡子  甘草  防风  当归　赤芍药各等分,等分,疏风活血，解毒消肿。,透疹　散结,痈肿初发。, 上叹咀。每次15g，用水300ml，煎至240ml，去滓。,温服。,,n,6.0,,,
元•佚名撰,煮散,内,8119.0,防风苍术汤,《田氏保婴集》,防风15g  苍术  石膏各30g  炙甘草15g  川芎  黄芩各7．5g,15g,解毒透疹。,透疹,小儿邪热在表，恶风恶寒，疮疹未出者。,上为粗末。每次6g，加生姜3片，薄荷7叶，水煎，去滓。,温服，一日二次。,,y,6.0,,,
清•马培之,酒,外,3488.0,牛皮癣药酒,《青囊秘传》,马钱子6个  土槿皮60g  槟榔7个  防风6g  麝香lg  冰片1g  蜗牛7个,6g,疏风解毒，杀虫止痒。,止痒,牛皮癣。,用烧酒1．5kg浸。,搽患处。,,y,7.0,,,
宋,丸,内,3705.0,乌头丸 ,《大平圣惠方》卷二十一,川乌头250g(用黑豆1．5kg，水1．3L，煮至黑豆烂熟为度，切作片子，晒干)  天麻60g  黄芪60g(锉)  当归60g(锉，微炒)  羌活60g  肉桂90g(去皱皮)  防风60g(去芦头),60g,补气养血，祛风散寒。,止痒,气血两虚，风寒入于肌肉之间，血气运行不畅，致患顽麻风，皮肤搔之不知痛痒。,上为末，用生姜自然汁180g，蜜360g，相搅令匀，和药捣为丸，如绿豆大。,每次10丸，空心用温酒送服，晚食前再服。,去芦头,y,7.0,,,
宋,煮散,内,8082.0,防风汤,《圣济总录》卷一八二,防风  白茯苓  升麻  贝母(去心)蒺藜子(炒，去角)  大黄(锉，炒)  甘草(炙，锉)各7．5g,7.5g,泻火解毒，祛风止痒。,止痒,小儿瘾疹，风痒。,上为粗末。每次3g，以水100ml，煎至40m1，去滓。,食后温服，一日二次。,,y,7.0,,,
现代•程运乾编,汤,外,8863.0,芦矾洗剂,《中医皮肤病学简编》,芦荟9g  明矾9g  黄柏31g  苦参31g  蛇床子31g  荆芥15g  防风15g,15g,杀虫止痒。,止痒,赤肿性皮肤病。,水煎，去滓。,熏洗患处。,,y,7.0,,,
清•顾世澄,丸,内,9505.0,何首乌丸,《疡医大全》卷三十五,何首乌120g  荆芥  威灵仙  防风  蔓荆子(炒)  车前子(炒)  甘草(炙)各60g,60g,养血活血，祛风利湿。,透疹,脓窠疮,上为细末，水泛为丸。,每次4．5g，早、晚用淡酒送服。,,y,7.0,,,
宋,散,内,9509.0,何首乌散,《太平惠民和剂局方》卷八,荆芥穗  蔓荆子(去白皮)  蚵蚾草　威灵仙(洗净)  何首乌  防风  甘草(炙)各2．5kg,2.5kg,养血祛风。,止痒,脾肺风毒攻冲，遍身疥癣瘙痒，或生瘾疹，搔之成疮，肩背拘倦，肌肉顽痹，手足皴裂；并治紫癜、白癜。,上为末。,每次3g，食后用温酒或沸汤调服。,,y,7.0,,,
清•李文炳辑,汤,外,10725.0,苦参煎,《仙拈集》卷四),苦参  荆芥  防风  白矾  花椒  野菊  马鞭草各等分,等分,清热燥湿，祛风止痒。,止痒,疥疮。,水煎，去滓。,洗浴。数次效。,,n,7.0,,,
